,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,L10_mean,L11_mean,L12_mean,L1_std,L2_std,L3_std,L4_std,L5_std,L6_std,L7_std,L8_std,L9_std,L10_std,L11_std,L12_std,L1_ptp,L2_ptp,L3_ptp,L4_ptp,L5_ptp,L6_ptp,L7_ptp,L8_ptp,L9_ptp,L10_ptp,L11_ptp,L12_ptp,L1_bp_0_5Hz,L2_bp_0_5Hz,L3_bp_0_5Hz,L4_bp_0_5Hz,L5_bp_0_5Hz,L6_bp_0_5Hz,L7_bp_0_5Hz,L8_bp_0_5Hz,L9_bp_0_5Hz,L10_bp_0_5Hz,L11_bp_0_5Hz,L12_bp_0_5Hz,L1_bp_5_15Hz,L2_bp_5_15Hz,L3_bp_5_15Hz,L4_bp_5_15Hz,L5_bp_5_15Hz,L6_bp_5_15Hz,L7_bp_5_15Hz,L8_bp_5_15Hz,L9_bp_5_15Hz,L10_bp_5_15Hz,L11_bp_5_15Hz,L12_bp_5_15Hz,L1_bp_15_40Hz,L2_bp_15_40Hz,L3_bp_15_40Hz,L4_bp_15_40Hz,L5_bp_15_40Hz,L6_bp_15_40Hz,L7_bp_15_40Hz,L8_bp_15_40Hz,L9_bp_15_40Hz,L10_bp_15_40Hz,L11_bp_15_40Hz,L12_bp_15_40Hz,n_beats,SDNN_ms,RMSSD_ms
L6_bp_0_5Hz,0.058,0.071,0.014,0.07,0.02,0.047,0.031,0.013,0.022,0.029,0.029,0.028,0.172,0.53,0.657,0.269,0.36,0.733,0.223,0.182,0.22,0.195,0.196,0.26,0.105,0.435,0.512,0.206,0.268,0.586,0.207,0.169,0.171,0.122,0.152,0.242,0.402,0.857,0.873,0.596,0.638,1.0,0.35,0.259,0.325,0.407,0.421,0.431,0.1,0.292,0.418,0.117,0.201,0.471,0.154,0.142,0.179,0.17,0.136,0.165,0.026,0.197,0.315,0.007,0.101,0.364,0.09,0.08,0.089,0.049,0.048,0.098,0.004,0.09,0.103
L7_bp_0_5Hz,0.011,0.018,0.007,0.014,0.002,0.015,0.019,0.001,0.011,0.016,0.007,0.005,0.311,0.253,0.358,0.27,0.35,0.309,0.841,0.492,0.374,0.242,0.227,0.289,0.235,0.207,0.304,0.197,0.283,0.267,0.739,0.417,0.3,0.167,0.146,0.223,0.402,0.316,0.393,0.366,0.425,0.35,1.0,0.567,0.425,0.342,0.363,0.399,0.304,0.209,0.301,0.255,0.303,0.246,0.684,0.456,0.349,0.23,0.213,0.264,0.119,0.102,0.214,0.068,0.185,0.173,0.53,0.288,0.206,0.102,0.072,0.1,0.039,0.007,0.012
L8_bp_0_5Hz,0.008,0.009,0.006,0.006,0.005,0.012,0.005,0.014,0.004,0.019,0.019,0.014,0.171,0.229,0.247,0.196,0.195,0.263,0.516,0.834,0.556,0.342,0.255,0.259,0.11,0.203,0.231,0.14,0.158,0.247,0.487,0.703,0.421,0.259,0.198,0.218,0.3,0.262,0.258,0.294,0.278,0.259,0.567,1.0,0.682,0.453,0.33,0.306,0.17,0.214,0.219,0.195,0.171,0.238,0.477,0.735,0.537,0.343,0.26,0.269,0.002,0.116,0.155,0.031,0.063,0.174,0.375,0.506,0.312,0.188,0.132,0.126,0.064,0.06,0.057
L9_bp_0_5Hz,0.005,0.012,0.004,0.007,0.002,0.012,0.002,0.009,0.0,0.016,0.007,0.003,0.107,0.231,0.265,0.139,0.168,0.295,0.358,0.538,0.749,0.452,0.339,0.322,0.039,0.191,0.241,0.072,0.124,0.27,0.339,0.447,0.53,0.334,0.291,0.29,0.294,0.332,0.296,0.326,0.286,0.325,0.425,0.682,1.0,0.656,0.443,0.383,0.104,0.197,0.227,0.122,0.136,0.256,0.311,0.498,0.665,0.438,0.314,0.296,0.08,0.081,0.153,0.052,0.02,0.177,0.216,0.296,0.35,0.233,0.191,0.168,0.079,0.096,0.1
L10_bp_0_5Hz,0.03,0.025,0.006,0.028,0.022,0.015,0.008,0.001,0.013,0.018,0.014,0.011,0.143,0.319,0.283,0.225,0.177,0.346,0.248,0.318,0.492,0.647,0.462,0.418,0.082,0.274,0.255,0.163,0.135,0.314,0.25,0.275,0.364,0.459,0.394,0.39,0.367,0.448,0.352,0.446,0.339,0.407,0.342,0.453,0.656,1.0,0.649,0.52,0.116,0.258,0.209,0.178,0.115,0.278,0.177,0.265,0.451,0.564,0.404,0.349,0.04,0.14,0.146,0.018,0.017,0.201,0.119,0.136,0.238,0.311,0.263,0.239,0.111,0.112,0.118
L11_bp_0_5Hz,0.03,0.024,0.005,0.027,0.019,0.014,0.006,0.007,0.005,0.017,0.014,0.019,0.233,0.383,0.273,0.354,0.208,0.344,0.269,0.222,0.318,0.441,0.674,0.594,0.174,0.336,0.242,0.286,0.165,0.313,0.271,0.206,0.243,0.333,0.538,0.545,0.447,0.491,0.375,0.541,0.388,0.421,0.363,0.33,0.443,0.649,1.0,0.729,0.188,0.308,0.174,0.287,0.126,0.257,0.184,0.158,0.261,0.391,0.513,0.476,0.058,0.206,0.133,0.14,0.049,0.205,0.146,0.092,0.142,0.24,0.339,0.361,0.073,0.083,0.089
L12_bp_0_5Hz,0.029,0.032,0.004,0.03,0.013,0.022,0.01,0.001,0.009,0.027,0.007,0.021,0.259,0.368,0.287,0.36,0.235,0.338,0.296,0.214,0.267,0.316,0.484,0.756,0.195,0.313,0.246,0.282,0.186,0.297,0.284,0.201,0.215,0.225,0.388,0.653,0.452,0.482,0.402,0.537,0.413,0.431,0.399,0.306,0.383,0.52,0.729,1.0,0.208,0.287,0.175,0.294,0.145,0.238,0.208,0.146,0.2,0.26,0.382,0.505,0.074,0.187,0.136,0.135,0.071,0.189,0.158,0.098,0.12,0.138,0.24,0.354,0.034,0.053,0.063
L1_bp_5_15Hz,0.059,0.011,0.046,0.04,0.057,0.02,0.007,0.016,0.01,0.014,0.027,0.02,0.908,0.136,0.327,0.548,0.726,0.059,0.42,0.171,0.146,0.148,0.263,0.312,0.824,0.104,0.338,0.473,0.694,0.055,0.405,0.136,0.108,0.088,0.2,0.27,0.543,0.085,0.25,0.275,0.455,0.1,0.304,0.17,0.104,0.116,0.188,0.208,1.0,0.2,0.333,0.652,0.782,0.065,0.448,0.185,0.182,0.214,0.343,0.406,0.784,0.08,0.318,0.434,0.7,0.012,0.407,0.094,0.094,0.094,0.202,0.254,0.077,0.068,0.057
L2_bp_5_15Hz,0.019,0.033,0.044,0.015,0.039,0.037,0.005,0.009,0.004,0.005,0.013,0.017,0.172,0.858,0.254,0.635,0.024,0.627,0.342,0.28,0.245,0.36,0.451,0.482,0.105,0.768,0.261,0.539,0.022,0.599,0.366,0.27,0.177,0.24,0.326,0.423,0.17,0.41,0.165,0.35,0.105,0.292,0.209,0.214,0.197,0.258,0.308,0.287,0.2,1.0,0.264,0.708,0.02,0.748,0.347,0.289,0.288,0.459,0.572,0.609,0.082,0.778,0.22,0.513,0.055,0.619,0.369,0.263,0.178,0.28,0.379,0.467,0.141,0.049,0.081
L3_bp_5_15Hz,0.006,0.018,0.022,0.004,0.018,0.021,0.005,0.003,0.005,0.007,0.012,0.014,0.294,0.268,0.86,0.16,0.593,0.594,0.329,0.271,0.278,0.205,0.163,0.176,0.221,0.243,0.829,0.1,0.551,0.574,0.289,0.235,0.222,0.132,0.125,0.15,0.261,0.251,0.512,0.167,0.44,0.418,0.301,0.219,0.227,0.209,0.174,0.175,0.333,0.264,1.0,0.192,0.619,0.625,0.353,0.305,0.322,0.242,0.181,0.188,0.145,0.157,0.841,0.025,0.485,0.528,0.238,0.197,0.196,0.111,0.09,0.082,0.115,0.071,0.091
L4_bp_5_15Hz,0.026,0.049,0.016,0.049,0.001,0.033,0.002,0.014,0.011,0.008,0.004,0.003,0.603,0.578,0.192,0.875,0.288,0.281,0.435,0.233,0.161,0.276,0.45,0.514,0.535,0.514,0.214,0.76,0.286,0.275,0.466,0.222,0.109,0.181,0.328,0.449,0.383,0.23,0.118,0.421,0.214,0.117,0.255,0.195,0.122,0.178,0.287,0.294,0.652,0.708,0.192,1.0,0.278,0.344,0.442,0.23,0.196,0.37,0.582,0.666,0.521,0.541,0.185,0.74,0.249,0.276,0.496,0.21,0.114,0.225,0.383,0.495,0.111,0.09,0.114
L5_bp_5_15Hz,0.044,0.017,0.06,0.014,0.06,0.041,0.007,0.008,0.005,0.013,0.035,0.028,0.712,0.03,0.577,0.22,0.902,0.111,0.332,0.177,0.187,0.096,0.111,0.137,0.644,0.047,0.571,0.171,0.856,0.104,0.286,0.136,0.158,0.056,0.091,0.113,0.458,0.082,0.409,0.169,0.56,0.201,0.303,0.171,0.136,0.115,0.126,0.145,0.782,0.02,0.619,0.278,1.0,0.087,0.365,0.209,0.223,0.131,0.137,0.167,0.572,0.126,0.555,0.094,0.852,0.025,0.245,0.081,0.129,0.027,0.046,0.042,0.062,0.006,0.035
L6_bp_5_15Hz,0.032,0.003,0.028,0.014,0.033,0.011,0.005,0.004,0.005,0.015,0.013,0.01,0.04,0.694,0.559,0.309,0.124,0.86,0.313,0.311,0.311,0.335,0.319,0.33,0.037,0.635,0.533,0.231,0.101,0.817,0.307,0.288,0.237,0.223,0.231,0.287,0.122,0.411,0.361,0.234,0.203,0.471,0.246,0.238,0.256,0.278,0.257,0.238,0.065,0.748,0.625,0.344,0.087,1.0,0.324,0.337,0.36,0.408,0.382,0.385,0.091,0.593,0.5,0.178,0.002,0.824,0.272,0.269,0.222,0.233,0.242,0.272,0.145,0.041,0.034
L7_bp_5_15Hz,0.016,0.02,0.005,0.024,0.011,0.009,0.015,0.008,0.001,0.007,0.01,0.009,0.354,0.268,0.301,0.326,0.314,0.272,0.907,0.568,0.366,0.227,0.225,0.268,0.253,0.228,0.279,0.23,0.26,0.262,0.848,0.486,0.277,0.145,0.129,0.188,0.278,0.13,0.21,0.194,0.258,0.154,0.684,0.477,0.311,0.177,0.184,0.208,0.448,0.347,0.353,0.442,0.365,0.324,1.0,0.642,0.433,0.291,0.309,0.375,0.209,0.211,0.259,0.193,0.227,0.248,0.846,0.45,0.244,0.141,0.139,0.169,0.147,0.022,0.022
L8_bp_5_15Hz,0.002,0.01,0.004,0.007,0.006,0.006,0.01,0.009,0.005,0.016,0.009,0.006,0.149,0.23,0.26,0.175,0.185,0.275,0.571,0.916,0.606,0.329,0.215,0.202,0.076,0.19,0.248,0.099,0.154,0.259,0.523,0.812,0.482,0.247,0.152,0.143,0.168,0.123,0.158,0.136,0.166,0.142,0.456,0.735,0.498,0.265,0.158,0.146,0.185,0.289,0.305,0.23,0.209,0.337,0.642,1.0,0.681,0.371,0.263,0.278,0.025,0.178,0.229,0.067,0.107,0.252,0.516,0.786,0.473,0.242,0.159,0.134,0.135,0.042,0.034
L9_bp_5_15Hz,0.003,0.01,0.005,0.007,0.002,0.008,0.013,0.008,0.008,0.002,0.005,0.004,0.141,0.233,0.271,0.146,0.194,0.294,0.403,0.627,0.886,0.589,0.382,0.285,0.063,0.186,0.25,0.066,0.157,0.271,0.36,0.537,0.718,0.466,0.325,0.238,0.165,0.157,0.181,0.141,0.174,0.179,0.349,0.537,0.665,0.451,0.261,0.2,0.182,0.288,0.322,0.196,0.223,0.36,0.433,0.681,1.0,0.652,0.422,0.35,0.01,0.161,0.23,0.028,0.11,0.254,0.324,0.487,0.708,0.471,0.327,0.224,0.122,0.055,0.052
L10_bp_5_15Hz,0.009,0.012,0.018,0.005,0.018,0.015,0.011,0.016,0.005,0.003,0.003,0.002,0.167,0.388,0.2,0.313,0.109,0.334,0.289,0.357,0.587,0.88,0.652,0.452,0.107,0.36,0.2,0.255,0.09,0.332,0.292,0.31,0.482,0.726,0.573,0.423,0.166,0.204,0.13,0.202,0.119,0.17,0.23,0.343,0.438,0.564,0.391,0.26,0.214,0.459,0.242,0.37,0.131,0.408,0.291,0.371,0.652,1.0,0.75,0.563,0.075,0.343,0.172,0.225,0.043,0.321,0.256,0.25,0.473,0.756,0.611,0.45,0.053,0.045,0.034
L11_bp_5_15Hz,0.002,0.035,0.029,0.027,0.02,0.032,0.009,0.025,0.018,0.022,0.011,0.002,0.287,0.478,0.154,0.5,0.124,0.309,0.307,0.256,0.375,0.659,0.874,0.694,0.233,0.45,0.17,0.436,0.117,0.32,0.325,0.223,0.291,0.562,0.765,0.662,0.234,0.216,0.104,0.277,0.133,0.136,0.213,0.26,0.314,0.404,0.513,0.382,0.343,0.572,0.181,0.582,0.137,0.382,0.309,0.263,0.422,0.75,1.0,0.85,0.212,0.449,0.136,0.413,0.073,0.315,0.303,0.178,0.276,0.596,0.801,0.717,0.044,0.012,0.004
L12_bp_5_15Hz,0.003,0.033,0.029,0.023,0.023,0.03,0.002,0.017,0.012,0.015,0.014,0.005,0.355,0.507,0.182,0.571,0.169,0.325,0.37,0.275,0.317,0.493,0.746,0.847,0.287,0.465,0.194,0.481,0.157,0.327,0.381,0.243,0.236,0.395,0.641,0.794,0.299,0.239,0.148,0.334,0.19,0.165,0.264,0.269,0.296,0.349,0.476,0.505,0.406,0.609,0.188,0.666,0.167,0.385,0.375,0.278,0.35,0.563,0.85,1.0,0.244,0.463,0.146,0.448,0.098,0.314,0.357,0.205,0.214,0.407,0.665,0.802,0.069,0.012,0.027
L1_bp_15_40Hz,0.042,0.013,0.029,0.03,0.037,0.009,0.008,0.023,0.011,0.02,0.028,0.016,0.837,0.082,0.183,0.542,0.601,0.066,0.23,0.043,0.031,0.103,0.242,0.246,0.881,0.077,0.22,0.566,0.649,0.069,0.226,0.027,0.04,0.108,0.25,0.263,0.329,0.022,0.096,0.129,0.262,0.026,0.119,0.002,0.08,0.04,0.058,0.074,0.784,0.082,0.145,0.521,0.572,0.091,0.209,0.025,0.01,0.075,0.212,0.244,1.0,0.14,0.26,0.652,0.755,0.051,0.312,0.072,0.108,0.177,0.319,0.362,0.18,0.141,0.145
L2_bp_15_40Hz,0.022,0.023,0.04,0.006,0.037,0.031,0.002,0.013,0.005,0.0,0.02,0.024,0.11,0.83,0.193,0.612,0.067,0.595,0.25,0.2,0.17,0.336,0.442,0.446,0.069,0.868,0.208,0.616,0.082,0.64,0.285,0.192,0.129,0.27,0.378,0.443,0.071,0.273,0.096,0.214,0.033,0.197,0.102,0.116,0.081,0.14,0.206,0.187,0.08,0.778,0.157,0.541,0.126,0.593,0.211,0.178,0.161,0.343,0.449,0.463,0.14,1.0,0.23,0.705,0.093,0.752,0.363,0.255,0.192,0.364,0.489,0.579,0.239,0.106,0.143
L3_bp_15_40Hz,0.005,0.02,0.022,0.006,0.015,0.024,0.007,0.011,0.001,0.005,0.012,0.013,0.318,0.259,0.825,0.191,0.586,0.54,0.26,0.227,0.221,0.172,0.157,0.167,0.272,0.258,0.898,0.159,0.596,0.574,0.232,0.206,0.184,0.122,0.139,0.159,0.218,0.191,0.391,0.124,0.35,0.315,0.214,0.155,0.153,0.146,0.133,0.136,0.318,0.22,0.841,0.185,0.555,0.5,0.259,0.229,0.23,0.172,0.136,0.146,0.26,0.23,1.0,0.143,0.603,0.595,0.232,0.214,0.199,0.131,0.134,0.141,0.153,0.025,0.039
L4_bp_15_40Hz,0.011,0.035,0.019,0.028,0.01,0.029,0.007,0.023,0.011,0.011,0.001,0.01,0.503,0.538,0.078,0.82,0.157,0.199,0.247,0.107,0.056,0.246,0.427,0.436,0.52,0.562,0.11,0.853,0.179,0.222,0.289,0.106,0.045,0.221,0.391,0.448,0.189,0.099,0.004,0.22,0.071,0.007,0.068,0.031,0.052,0.018,0.14,0.135,0.434,0.513,0.025,0.74,0.094,0.178,0.193,0.067,0.028,0.225,0.413,0.448,0.652,0.705,0.143,1.0,0.23,0.299,0.408,0.188,0.136,0.335,0.524,0.626,0.244,0.159,0.196
L5_bp_15_40Hz,0.035,0.015,0.05,0.008,0.048,0.035,0.01,0.018,0.006,0.017,0.036,0.025,0.714,0.06,0.498,0.234,0.854,0.03,0.22,0.104,0.115,0.06,0.101,0.108,0.727,0.081,0.546,0.225,0.905,0.019,0.179,0.081,0.118,0.056,0.115,0.111,0.334,0.012,0.271,0.083,0.4,0.101,0.185,0.063,0.02,0.017,0.049,0.071,0.7,0.055,0.485,0.249,0.852,0.002,0.227,0.107,0.11,0.043,0.073,0.098,0.755,0.093,0.603,0.23,1.0,0.002,0.199,0.086,0.145,0.068,0.115,0.112,0.129,0.065,0.045
L6_bp_15_40Hz,0.028,0.005,0.022,0.013,0.028,0.006,0.0,0.005,0.004,0.012,0.016,0.012,0.01,0.687,0.53,0.314,0.069,0.832,0.264,0.255,0.243,0.303,0.313,0.318,0.061,0.718,0.551,0.286,0.04,0.896,0.269,0.236,0.185,0.224,0.257,0.305,0.076,0.319,0.281,0.169,0.148,0.364,0.173,0.174,0.177,0.201,0.205,0.189,0.012,0.619,0.528,0.276,0.025,0.824,0.248,0.252,0.254,0.321,0.315,0.314,0.051,0.752,0.595,0.299,0.002,1.0,0.292,0.266,0.213,0.268,0.301,0.345,0.191,0.0,0.012
L7_bp_15_40Hz,0.014,0.02,0.002,0.024,0.005,0.01,0.011,0.009,0.006,0.006,0.0,0.004,0.362,0.334,0.225,0.441,0.231,0.254,0.847,0.506,0.298,0.223,0.249,0.285,0.281,0.314,0.214,0.372,0.187,0.258,0.873,0.46,0.229,0.151,0.155,0.218,0.219,0.092,0.13,0.165,0.176,0.09,0.53,0.375,0.216,0.119,0.146,0.158,0.407,0.369,0.238,0.496,0.245,0.272,0.846,0.516,0.324,0.256,0.303,0.357,0.312,0.363,0.232,0.408,0.199,0.292,1.0,0.499,0.248,0.191,0.215,0.272,0.213,0.086,0.1
L8_bp_15_40Hz,0.014,0.007,0.012,0.0,0.018,0.009,0.002,0.007,0.0,0.014,0.012,0.013,0.112,0.242,0.194,0.21,0.104,0.239,0.435,0.847,0.555,0.306,0.195,0.18,0.073,0.214,0.198,0.163,0.099,0.228,0.426,0.887,0.566,0.296,0.164,0.138,0.088,0.078,0.081,0.091,0.078,0.08,0.288,0.506,0.296,0.136,0.092,0.098,0.094,0.263,0.197,0.21,0.081,0.269,0.45,0.786,0.487,0.25,0.178,0.205,0.072,0.255,0.214,0.188,0.086,0.266,0.499,1.0,0.63,0.319,0.196,0.172,0.209,0.011,0.022
L9_bp_15_40Hz,0.01,0.006,0.01,0.004,0.011,0.009,0.004,0.007,0.006,0.001,0.005,0.005,0.126,0.18,0.183,0.141,0.145,0.198,0.251,0.536,0.818,0.585,0.342,0.223,0.103,0.158,0.174,0.113,0.14,0.179,0.213,0.564,0.891,0.605,0.351,0.204,0.067,0.07,0.093,0.054,0.083,0.089,0.206,0.312,0.35,0.238,0.142,0.12,0.094,0.178,0.196,0.114,0.129,0.222,0.244,0.473,0.708,0.473,0.276,0.214,0.108,0.192,0.199,0.136,0.145,0.213,0.248,0.63,1.0,0.645,0.382,0.236,0.224,0.013,0.016
L10_bp_15_40Hz,0.011,0.016,0.025,0.003,0.023,0.022,0.008,0.017,0.009,0.009,0.005,0.009,0.119,0.291,0.096,0.263,0.038,0.207,0.16,0.285,0.54,0.863,0.648,0.388,0.122,0.307,0.102,0.279,0.045,0.219,0.154,0.289,0.566,0.903,0.673,0.411,0.031,0.074,0.021,0.063,0.007,0.049,0.102,0.188,0.233,0.311,0.24,0.138,0.094,0.28,0.111,0.225,0.027,0.233,0.141,0.242,0.471,0.756,0.596,0.407,0.177,0.364,0.131,0.335,0.068,0.268,0.191,0.319,0.645,1.0,0.764,0.519,0.158,0.019,0.032
L11_bp_15_40Hz,0.005,0.026,0.027,0.014,0.022,0.026,0.011,0.027,0.019,0.024,0.008,0.002,0.227,0.387,0.09,0.419,0.067,0.224,0.16,0.18,0.35,0.67,0.855,0.633,0.238,0.413,0.111,0.444,0.085,0.248,0.168,0.162,0.318,0.675,0.886,0.684,0.089,0.097,0.023,0.115,0.034,0.048,0.072,0.132,0.191,0.263,0.339,0.24,0.202,0.379,0.09,0.383,0.046,0.242,0.139,0.159,0.327,0.611,0.801,0.665,0.319,0.489,0.134,0.524,0.115,0.301,0.215,0.196,0.382,0.764,1.0,0.85,0.152,0.038,0.056
L12_bp_15_40Hz,0.014,0.025,0.034,0.01,0.031,0.03,0.005,0.019,0.011,0.017,0.005,0.007,0.29,0.48,0.114,0.536,0.086,0.276,0.207,0.159,0.238,0.481,0.761,0.789,0.286,0.497,0.131,0.543,0.096,0.296,0.22,0.133,0.183,0.446,0.757,0.842,0.163,0.155,0.073,0.196,0.093,0.098,0.1,0.126,0.168,0.239,0.361,0.354,0.254,0.467,0.082,0.495,0.042,0.272,0.169,0.134,0.224,0.45,0.717,0.802,0.362,0.579,0.141,0.626,0.112,0.345,0.272,0.172,0.236,0.519,0.85,1.0,0.178,0.06,0.083
n_beats,0.007,0.007,0.003,0.012,0.003,0.004,0.003,0.01,0.013,0.005,0.0,0.001,0.117,0.156,0.121,0.153,0.091,0.143,0.154,0.116,0.127,0.096,0.102,0.114,0.007,0.03,0.027,0.011,0.0,0.043,0.027,0.014,0.038,0.016,0.022,0.003,0.092,0.066,0.017,0.118,0.016,0.004,0.039,0.064,0.079,0.111,0.073,0.034,0.077,0.141,0.115,0.111,0.062,0.145,0.147,0.135,0.122,0.053,0.044,0.069,0.18,0.239,0.153,0.244,0.129,0.191,0.213,0.209,0.224,0.158,0.152,0.178,1.0,0.176,0.209
SDNN_ms,0.004,0.001,0.002,0.006,0.005,0.002,0.001,0.005,0.005,0.016,0.005,0.003,0.078,0.038,0.055,0.087,0.011,0.042,0.037,0.022,0.037,0.032,0.01,0.013,0.064,0.005,0.081,0.064,0.003,0.075,0.005,0.051,0.049,0.047,0.033,0.01,0.061,0.089,0.07,0.082,0.054,0.09,0.007,0.06,0.096,0.112,0.083,0.053,0.068,0.049,0.071,0.09,0.006,0.041,0.022,0.042,0.055,0.045,0.012,0.012,0.141,0.106,0.025,0.159,0.065,0.0,0.086,0.011,0.013,0.019,0.038,0.06,0.176,1.0,0.946
RMSSD_ms,0.005,0.001,0.005,0.006,0.007,0.0,0.003,0.007,0.006,0.016,0.002,0.007,0.072,0.064,0.071,0.113,0.011,0.037,0.041,0.015,0.037,0.024,0.003,0.024,0.058,0.028,0.097,0.087,0.025,0.071,0.009,0.048,0.056,0.045,0.028,0.005,0.071,0.096,0.085,0.086,0.068,0.103,0.012,0.057,0.1,0.118,0.089,0.063,0.057,0.081,0.091,0.114,0.035,0.034,0.022,0.034,0.052,0.034,0.004,0.027,0.145,0.143,0.039,0.196,0.045,0.012,0.1,0.022,0.016,0.032,0.056,0.083,0.209,0.946,1.0
